DATETIME,DELTA,THETA,LOW ALPHA,HIGH ALPHA,LOW BETA,HIGH BETA,LOW GAMMA,HIGH GAMMA,ATTENTION,MEDITATION
Wed Dec 12 2018 18:08:33 GMT+0530 (India Standard Time),248869,440646,49361,29668,41191,21234,9631,20148,0,0
Wed Dec 12 2018 18:08:34 GMT+0530 (India Standard Time),7221,14208,29280,13482,10832,6594,5330,2453,0,0
Wed Dec 12 2018 18:08:35 GMT+0530 (India Standard Time),10611,10931,4122,12103,6074,5775,2805,3050,0,0
Wed Dec 12 2018 18:08:36 GMT+0530 (India Standard Time),1896,45862,14327,12092,2933,3647,2614,1269,0,0
Wed Dec 12 2018 18:08:37 GMT+0530 (India Standard Time),19697,17192,16574,25655,18366,7281,2126,1494,44,48
Wed Dec 12 2018 18:08:38 GMT+0530 (India Standard Time),33576,178220,12213,11488,28446,9593,6586,2751,35,29
Wed Dec 12 2018 18:08:39 GMT+0530 (India Standard Time),21669,34673,7297,16460,26988,7749,6302,2070,41,26
Wed Dec 12 2018 18:08:40 GMT+0530 (India Standard Time),10452,47196,13437,31861,23808,9584,3561,720,43,34
Wed Dec 12 2018 18:08:41 GMT+0530 (India Standard Time),18862,9990,16743,19814,5933,5749,3294,2447,43,44
Wed Dec 12 2018 18:08:42 GMT+0530 (India Standard Time),33638,21880,23770,13201,7671,9068,4068,1993,60,77
Wed Dec 12 2018 18:08:43 GMT+0530 (India Standard Time),47344,25661,27951,12761,7458,7640,1659,3203,56,93
Wed Dec 12 2018 18:08:44 GMT+0530 (India Standard Time),18246,44685,56762,38045,17690,6318,5853,2928,43,100
Wed Dec 12 2018 18:08:45 GMT+0530 (India Standard Time),48677,96378,34926,17704,15304,7766,2232,1568,29,84
Wed Dec 12 2018 18:08:47 GMT+0530 (India Standard Time),69121,87430,15496,11738,6100,5032,4430,1260,4,53
Wed Dec 12 2018 18:08:48 GMT+0530 (India Standard Time),94936,21073,31806,23737,9840,5649,1330,910,11,56
Wed Dec 12 2018 18:08:49 GMT+0530 (India Standard Time),138447,57915,17762,28789,4149,4908,4957,1734,10,61
Wed Dec 12 2018 18:08:50 GMT+0530 (India Standard Time),7901,4554,8327,469,4047,1725,896,456,21,70
Wed Dec 12 2018 18:08:51 GMT+0530 (India Standard Time),11314,24240,13612,7955,9524,10343,8723,1277,47,80
Wed Dec 12 2018 18:08:52 GMT+0530 (India Standard Time),12894,65904,17282,22272,12176,10792,2055,4475,51,63
Wed Dec 12 2018 18:08:53 GMT+0530 (India Standard Time),10024,19429,3961,6275,4119,5979,1870,1193,70,53
Wed Dec 12 2018 18:08:54 GMT+0530 (India Standard Time),14475,12584,2002,13898,5799,4665,3383,1213,77,51
Wed Dec 12 2018 18:08:55 GMT+0530 (India Standard Time),19321,27172,22172,8533,6959,6497,4319,1698,64,56
Wed Dec 12 2018 18:08:56 GMT+0530 (India Standard Time),4061,4723,8491,18110,6727,7617,4463,1946,77,70
Wed Dec 12 2018 18:08:58 GMT+0530 (India Standard Time),6221,22654,8943,5727,12338,12559,2595,1672,96,67
Wed Dec 12 2018 18:08:59 GMT+0530 (India Standard Time),637,22870,4885,22883,7186,5365,7103,2776,96,67
Wed Dec 12 2018 18:09:00 GMT+0530 (India Standard Time),17430,16802,18959,2639,6559,5792,1995,1607,90,60
Wed Dec 12 2018 18:09:01 GMT+0530 (India Standard Time),24775,27064,18564,7947,1644,10040,2668,1628,78,61
Wed Dec 12 2018 18:09:03 GMT+0530 (India Standard Time),22804,6804,4098,1649,1057,1329,748,650,61,75
Wed Dec 12 2018 18:09:04 GMT+0530 (India Standard Time),28339,29384,57171,11051,12405,6540,6165,884,50,87
Wed Dec 12 2018 18:09:05 GMT+0530 (India Standard Time),163052,61606,40237,26507,11870,8612,3755,2555,37,90
Wed Dec 12 2018 18:09:07 GMT+0530 (India Standard Time),79016,33830,11358,81319,15110,10337,4638,1527,14,70
Wed Dec 12 2018 18:09:08 GMT+0530 (India Standard Time),61146,107797,11470,14995,35580,12550,2101,1678,23,41
